Date,BAC,BG,CNC,DHI,DLTR,EG,EXC,GS,KEY,LEN,MS,MU,NUE,NVR,PHM,PWR,RF,STLD,WHR
2010-01-04 00:00:00-05:00,12.67856502532959,46.219173431396484,5.425000190734863,9.553484916687012,16.05666732788086,63.21831130981445,19.798078536987305,135.57618713378906,3.8785195350646973,11.522698402404785,23.06782341003418,10.65609073638916,31.967323303222656,712.6699829101562,8.852496147155762,20.87830924987793,3.8036348819732666,13.036585807800293,53.84162521362305
2010-01-05 00:00:00-05:00,13.090685844421387,47.81343460083008,5.252500057220459,9.895907402038574,15.853333473205566,62.30097961425781,19.474044799804688,137.97315979003906,4.028698921203613,12.000964164733887,23.911134719848633,10.970372200012207,32.18806838989258,715.0,8.964881896972656,20.96677589416504,3.9299569129943848,12.958181381225586,53.729957580566406
2010-01-06 00:00:00-05:00,13.244213104248047,49.364810943603516,5.315000057220459,9.981511116027832,16.78333282470703,62.27872848510742,19.591510772705078,136.50042724609375,4.002582550048828,12.133816719055176,24.217111587524414,11.019479751586914,33.157981872558594,717.2100219726562,8.964881896972656,21.56638526916504,3.9790806770324707,13.89903736114502,53.25690841674805
2010-01-07 00:00:00-05:00,13.680573463439941,50.70884704589844,5.447500228881836,10.503701210021973,16.67333221435547,62.40450668334961,19.65631103515625,139.17160034179688,4.172348976135254,13.692611694335938,24.567869186401367,10.646269798278809,32.9305534362793,730.5,9.69106388092041,21.89076805114746,4.329969882965088,13.806375503540039,54.40008544921875
2010-01-08 00:00:00-05:00,13.559366226196289,50.96623229980469,5.392499923706055,10.4180908203125,16.44333267211914,62.293556213378906,19.563154220581055,136.53965759277344,4.244172096252441,14.126596450805664,24.067859649658203,10.901623725891113,33.3988037109375,724.989990234375,9.535454750061035,21.48775291442871,4.336986541748047,14.390850067138672,55.5563850402832
2010-01-11 00:00:00-05:00,13.680573463439941,50.244144439697266,5.349999904632568,10.478017807006836,16.35333251953125,62.70786666870117,19.789976119995117,134.3855743408203,4.263762950897217,14.401153564453125,23.911134719848633,10.705196380615234,33.2048225402832,709.9000244140625,9.483583450317383,20.62273406982422,4.435235977172852,13.94180679321289,55.20163345336914
2010-01-12 00:00:00-05:00,13.219977378845215,49.050235748291016,5.329999923706055,10.452335357666016,16.546667098999023,62.781822204589844,19.875024795532227,131.45594787597656,4.185408115386963,14.286014556884766,23.232006072998047,10.076637268066406,32.382049560546875,710.3300170898438,9.423068046569824,20.2393798828125,4.386113166809082,13.59967041015625,54.10443115234375
2010-01-13 00:00:00-05:00,13.430069923400879,48.70709991455078,5.425000190734863,10.63210391998291,16.46666717529297,63.50687026977539,20.113996505737305,132.43511962890625,4.237642288208008,14.39229679107666,23.329025268554688,10.27306079864502,32.395416259765625,715.5900268554688,9.78615951538086,20.278697967529297,4.4633073806762695,13.385842323303223,54.57746887207031
2010-01-14 00:00:00-05:00,13.591686248779297,48.664188385009766,5.5,10.486577987670898,16.416667938232422,63.6474494934082,19.879072189331055,132.0120391845703,4.472704887390137,14.480867385864258,23.284252166748047,10.53823471069336,32.047603607177734,722.0999755859375,9.708353996276855,19.108963012695312,4.596646785736084,13.136369705200195,54.64317321777344
2010-01-15 00:00:00-05:00,13.13917064666748,49.936737060546875,5.510000228881836,10.392414093017578,16.456666946411133,62.74483108520508,19.684663772583008,129.4114990234375,4.492293357849121,14.135455131530762,22.672290802001953,9.948959350585938,31.726516723632812,715.0,9.50951862335205,18.73543357849121,4.575593948364258,12.83700942993164,54.07156753540039
2010-01-19 00:00:00-05:00,13.187650680541992,49.329071044921875,5.25,10.555063247680664,16.553333282470703,63.839778900146484,19.956035614013672,130.70396423339844,4.413939952850342,14.356873512268066,23.254396438598633,10.09627914428711,32.181373596191406,728.2999877929688,9.500876426696777,18.165307998657227,4.56857442855835,12.815627098083496,54.29494094848633
2010-01-20 00:00:00-05:00,13.325021743774414,48.4354133605957,4.889999866485596,10.383852005004883,16.446666717529297,64.06912231445312,19.623912811279297,131.43243408203125,4.544528961181641,13.940603256225586,22.858863830566406,9.80163860321045,31.512462615966797,724.260009765625,9.423068046569824,18.33241081237793,4.722967147827148,12.452112197875977,53.4539909362793
2010-01-21 00:00:00-05:00,12.500792503356934,45.81169128417969,4.852499961853027,9.887343406677246,16.43666648864746,63.44028854370117,19.461898803710938,126.01189422607422,4.79265022277832,13.559759140014648,21.896146774291992,9.624855995178223,30.562618255615234,721.5,9.094554901123047,18.184972763061523,4.8141961097717285,11.903280258178711,51.791770935058594
2010-01-22 00:00:00-05:00,12.04019546508789,44.95377731323242,4.985000133514404,9.587726593017578,16.073333740234375,62.50071716308594,18.87864875793457,120.7245101928711,4.733884811401367,13.124638557434082,20.74686622619629,8.966830253601074,29.559240341186523,714.5900268554688,8.835208892822266,18.057178497314453,4.6317362785339355,11.689444541931152,50.96396255493164
2010-01-25 00:00:00-05:00,12.104844093322754,44.80364990234375,4.947500228881836,9.733253479003906,16.266666412353516,62.56726837158203,18.668033599853516,121.39816284179688,4.609825134277344,13.053598403930664,20.702091217041016,9.163254737854004,29.51910972595215,711.989990234375,8.843852043151855,18.096494674682617,4.596646785736084,11.618168830871582,50.40550231933594
2010-01-26 00:00:00-05:00,11.935147285461426,44.338958740234375,4.862500190734863,9.664770126342773,16.363332748413086,62.52288818359375,18.87459945678711,118.18657684326172,4.498822212219238,12.929278373718262,20.396116256713867,9.271288871765137,29.137813568115234,708.6900024414062,8.947589874267578,18.11615753173828,4.266811370849609,11.43997573852539,49.99814987182617
